Timestamp,TP9,AF7,AF8,TP10,Computed_Attention_Score,State
2026-03-28 20:03:40.938,2.169,9.876,2.137,7.742,80.9,Focused
2026-03-28 20:03:40.942,5.358,3.444,3.643,12.967,89.1,Focused
2026-03-28 20:03:40.945,9.088,3.961,10.161,7.041,80.8,Focused
2026-03-28 20:03:40.949,-0.721,9.819,0.384,10.703,73.3,Focused
2026-03-28 20:03:40.953,8.894,-0.018,14.66,7.953,86.9,Focused
2026-03-28 20:03:40.957,3.344,10.77,9.99,5.283,77.1,Focused
2026-03-28 20:03:40.961,-1.169,10.018,-4.714,-0.449,81.9,Focused
2026-03-28 20:03:40.965,-5.562,-3.407,4.479,-1.594,90.7,Focused
2026-03-28 20:03:40.969,10.246,-1.895,-3.764,-4.242,93.1,Focused
2026-03-28 20:03:40.973,2.708,-8.048,-9.877,9.552,82.9,Focused
2026-03-28 20:03:40.977,-5.383,7.687,-2.567,-2.334,79.3,Focused
2026-03-28 20:03:40.981,1.296,7.797,4.945,-5.571,91.9,Focused
2026-03-28 20:03:40.984,10.782,8.267,-2.469,0.767,85.6,Focused
2026-03-28 20:03:40.988,-4.552,3.082,7.337,11.87,74.6,Focused
2026-03-28 20:03:40.992,0.157,2.979,13.546,8.406,85.5,Focused
2026-03-28 20:03:40.996,8.376,4.675,10.985,1.154,71.7,Focused
2026-03-28 20:03:41.000,10.61,0.972,-0.267,-3.008,72.2,Focused
2026-03-28 20:03:41.004,-5.464,2.567,5.63,6.588,84.2,Focused
2026-03-28 20:03:41.008,10.515,-2.713,8.053,9.579,92.0,Focused
2026-03-28 20:03:41.012,4.432,-1.733,-0.652,-6.891,90.1,Focused
2026-03-28 20:03:41.016,1.507,-8.99,-8.853,-3.627,81.4,Focused
2026-03-28 20:03:41.020,-2.153,-12.02,-4.406,-2.544,89.4,Focused
2026-03-28 20:03:41.024,-7.705,2.434,-14.137,-0.927,77.8,Focused
2026-03-28 20:03:41.027,-14.452,-10.868,-5.815,-12.224,75.3,Focused
2026-03-28 20:03:41.031,-6.283,3.807,1.285,-7.453,86.5,Focused
2026-03-28 20:03:41.035,3.504,-9.596,5.977,1.582,90.3,Focused
2026-03-28 20:03:41.039,-7.852,7.053,5.446,-2.854,91.5,Focused
2026-03-28 20:03:41.043,3.034,-2.692,-4.793,-0.61,91.1,Focused
2026-03-28 20:03:41.047,-5.806,-3.557,3.419,4.566,88.5,Focused
2026-03-28 20:03:41.051,-1.701,12.507,13.281,3.629,80.8,Focused
2026-03-28 20:03:41.055,8.162,6.923,8.7,-4.938,76.9,Focused
2026-03-28 20:03:41.059,5.863,2.788,-1.503,-6.554,74.8,Focused
